,Line_1,Line_2,Line_3,Line_4,Line_5,Line_6,Line_7,Line_8,Line_9,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,NL,,,,,,,,,,,,,,
6,NL,,,,,,,,,,,,,,
7,Ps,,,,,,,Pr,,Ps,,,,,Pr
8,Ps,,,,,,,Pr,,Ps,,,,,Pr
9,NL,,,,,,,,,,,,,,
10,NL,,,,,,,,,,,,,,
11,Ps,,,,Pr,,Ps,,,,,,,,Pr
12,Ps,,,,Pr,,Ps,,,,,,,,Pr
13,NL,,,,,,,,,,,,,,
14,NL,,,,,,,,,,,,,,
15,,Ps,,,,,,,,,,,,,Pr
16,,Ps,,,,,,,,,,,,,Pr
17,NL,,,,,,,,,,,,,,
18,NL,,,,,,,,,,,,,,
19,,Ps,,,Pr,,Ps,,,,,,,,Pr
20,J,Ps,,,,Pr,Ps,,,,,,,,Pr
21,NL,,,,,,,,,,,,,,
22,NL,,,,,,,,,,,,,,
23,Ps,,Pr,,Ps,,,,,Pr,Ps,,,,Pr
24,Ps,,Pr,,Ps,,,,,Pr,Ps,,,,Pr
25,NL,,,,,,,,,,,,,,
26,NL,,,,,,,,,,,,,,
27,Ps,,,Pr,,Ps,,Pr,,Ps,,,,,Pr
28,Ps,,,Pr,J,Ps,,Pr,J,Ps,,,,,Pr
29,NL,,,,,,,,,,,,,,
30,NL,,,,,,,,,,,,,,
31,NL,,,,,,,,,,,,,,
32,NL,,,,,,,,,,,,,,
33,Ps,,,Pr,,Ps,,,,,,,,,Pr
34,Ps,,,Pr,,Ps,,,,,,,,,Pr
35,Ps,,,Pr,,Ps,,,,,,,,,Pr
36,Ps,,,Pr,,Ps,,,,,,,,,Pr
37,Ps,,,Pr,,Ps,,,,,,,,,Pr
38,Ps,,,Pr,J,Ps,,,,,,,,,Pr
39,Ps,,,Pr,,Ps,,,,,,,,,Pr
40,Ps,,,,,,,,,,,,,,Pr
41,Ps,,,,,,,Pr,,Ps,,,,,Pr
42,Ps,,,,,,,Pr,J,Ps,,,,,Pr
43,Ps,,,,,,,Pr,,Ps,,,,,Pr
44,Ps,,,,,,,,,,,,,,Pr
45,Ps,,,,,,Pr,,Ps,,,,,,Pr
46,Ps,,,,,,Pr,J,Ps,,,,,,Pr
47,Ps,,,,,,Pr,,Ps,,,,,,Pr
48,Ps,,,,,,,,,,,,,,Pr
49,Ps,,,,,,,,,,Pr,,Ps,,Pr
50,Ps,,,,,,,,,,Pr,J,Ps,,Pr
51,Ps,,,,,,,,,,Pr,,Ps,,Pr
52,Ps,,,,,,,,,,,,,,Pr
53,Ps,,,,,,,Pr,C,Ps,,,,Pr,
54,Ps,,,,,,,Pr,J,Ps,,,,Pr,J
55,Ps,,,,,,,Pr,,Ps,,,,Pr,
56,Ps,,,,,,,,,,,,,,Pr
57,Ps,,,,,Pr,,Ps,,,Pr,C,Ps,,Pr
58,Ps,,,,,Pr,J,Ps,,,Pr,J,Ps,,Pr
59,Ps,,,,,Pr,,Ps,,,Pr,C,Ps,,Pr
60,Ps,,,,,,,,,,,,,,Pr
61,Ps,,,,,,Pr,,Ps,,,,,,Pr
62,Ps,,,,,,Pr,J,Ps,,,,,,Pr
63,Ps,,,,,,Pr,,Ps,,,,,,Pr
64,Ps,,,,,,,,,,,,,,Pr
65,Ps,,,,,,,,,,,,,,Pr
66,Ps,,,,,,,,,,,,,,Pr
