,Line_1,Line_2,Line_3,Line_4,Line_5,Line_6,Line_7,Line_8,Line_9,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15,,,,,,,,,,,,,,,,,,
1,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,Js,,Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ps,,,,,Pr,,,,,,,Ps,,Pr,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Ps,,,,Pr,,,,,,,Ps,,,Pr,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,Js,,Jr,,Js,,Jr,,Js,,Jr,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Ps,,,,,,,,,,,,,,Pr,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Ps,,Pr,,,Ps,,Pr,,,Ps,,Pr,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Sj,,Sj,,Sj,,Sj,,Sj,,Sj,,Sj,,Sj,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
